CodigoRadioCensal,Total_Poblacion
820842419,478
820842420,483
820842421,313
820842422,233
820842423,556
820842501,589
820842502,552
820842503,383
820842504,245
820842505,553
820842506,682
820842507,548
820842508,667
820842509,796
820842510,345
820842511,526
820842512,875
820842513,611
820842514,184
820842515,457
820842516,178
820842601,668
820842602,640
820842603,819
820842604,249
820842605,550
820842606,735
820842607,364
820842608,766
820842609,363
820842610,758
820842611,600
820842612,428
820842613,511
820842614,543
820842615,477
820842616,343
820842617,667
820842618,617
820842619,395
820842620,567
820842621,568
820842622,879
820842623,572
820842624,542
820842625,367
820842626,673
820842627,323
820842628,269
820842629,566
820842630,370
820842701,593
820842702,602
820842703,365
820842704,489
820842705,394
820842706,371
820842707,726
820842708,561
820842709,254
820842710,371
820842711,324
820842712,409
820842713,599
820842714,345
820842715,474
820842716,378
820842717,262
820842718,381
820842719,446
820842720,491
820842721,585
820842722,461
820842723,508
820842724,419
820842725,255
820842726,304
820842727,347
820842728,251
820842729,390
820842730,294
820842731,285
820842801,416
820842802,297
820842803,661
820842804,706
820842805,279
820842806,74
820842807,791
820842808,259
820842809,569
820842810,418
820842811,593
820842812,466
820842813,536
820842814,466
820842815,482
820842816,247
820842817,482
820842818,450
820842819,415
820842820,683
820842821,501
820842822,492
820842823,363
820842824,352
820842825,653
820842826,555
820842827,303
820842828,496
820842829,491
820842830,366
820842831,417
820842832,301
820842833,513
820842834,382
820842901,586
820842902,463
820842903,448
820842904,291
820842905,424
820842906,494
820842907,293
820842908,357
820842909,253
820842910,394
820842911,315
820842912,340
820842913,758
820842914,728
820842915,530
820842916,359
820842917,622
820842918,535
820842919,600
820842920,483
820842921,437
820842922,452
820842923,604
820842924,632
820842925,433
820842926,408
820842927,473
820842928,671
820842929,340
820842930,369
820842931,593
820842932,302
820842933,335
820842934,285
820842935,345
820842936,393
820842937,290
820842938,481
820842939,477
820842940,577
820842941,369
820842942,315
820842943,337
820842944,365
820842945,415
820842946,402
820843001,766
820843002,709
820843003,839
820843004,653
820843005,654
820843006,923
820843007,894
820843008,927
820843009,673
820843010,891
820843011,655
820843012,947
820843013,778
820843014,609
820843015,902
820843016,631
820843017,580
820843018,1311
820843019,533
820843020,1006
820843101,521
820843102,786
820843103,672
820843104,858
820843105,487
820843106,767
820843107,460
820843108,912
820843109,549
820843110,867
820843111,788
820843112,964
820843113,947
820843114,715
820843115,623
820843116,1149
820843117,755
820843118,723
820843119,786
820843120,637
820843121,832
820843122,557
820843201,495
820843202,976
820843203,953
820843204,959
820843205,928
820843206,485
820843207,1221
820843208,591
820843209,839
820843210,1226
820843211,919
820843212,682
820843213,625
820843214,858
820843215,1037
820843216,647
820843217,701
820843218,615
820843219,734
820843220,588
820843221,641
820843222,674
820843223,683
820843301,672
820843302,1020
820843303,758
820843304,926
820843305,747
820843306,1131
820843307,986
820843308,717
820843309,569
820843310,553
820843311,1376
820843312,548
820843313,776
820843314,1146
820843315,426
820843316,625
820843317,696
820843318,699
820843319,954
820843320,921
820843321,750
820843322,633
820843323,785
820843324,603
820843325,544
820843326,582
820843327,606
820843328,667
820843329,537
820843330,823
820843331,541
820843332,841
820843333,1001
820843334,939
820843335,958
820843336,691
820843337,632
820843401,666
820843402,798
820843403,582
820843404,733
820843405,597
820843406,517
820843407,661
820843408,497
820843409,569
820843410,448
820843411,626
820843412,674
820843413,585
820843414,989
820843415,998
820843416,1426
820843417,911
820843418,565
820843419,825
820843420,643
820843421,1210
820843422,488
820843423,498
820843424,599
820843425,392
820843426,672
820843427,535
820843501,1030
820843502,492
820843503,786
820843504,936
820843505,683
820843506,856
820843507,536
820843508,731
820843509,613
820843510,894
820843511,826
820843512,902
820843513,870
820843514,702
820843515,708
820843516,745
820843517,1030
820843518,630
820843519,683
820843520,1028
820843521,551
820843522,792
820843523,441
820843524,1012
820843601,615
820843602,697
820843603,632
820843604,755
820843605,422
820843606,458
820843607,402
820843608,405
820843609,818
820843610,454
820843611,400
820843612,1712
820843613,479
820843614,624
820843615,733
820843616,1094
820843617,463
820843618,605
820843619,577
820843620,426
820843621,470
820843622,406
820843623,439
820843624,426
820843701,279
820843702,673
820843703,691
820843704,346
820843705,439
820843706,508
820843707,624
820843708,378
820843709,595
820843710,498
820843711,609
820843712,446
820843713,398
820843714,454
820843715,668
820843716,370
820843717,346
820843718,435
820843719,705
820843720,456
820843721,364
820843722,508
820843723,284
820843724,376
820843725,301
820843726,287
820843727,357
820843728,462
820843729,415
820843730,277
820843801,317
820843802,466
820843803,359
820843804,465
820843805,574
820843806,456
820843807,644
820843808,503
820843809,337
820843810,848
820843811,937
820843812,714
820843813,752
820843814,782
820843815,513
820843816,453
820843817,452
820843818,528
820843819,464
820843820,446
820843821,467
820843822,339
820843823,369
820843824,314
820843901,527
820843902,594
