CodigoRadioCensal,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,Total
820840424,58,76,41,38,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,234
820840425,39,49,52,51,31,2,4,1,0,0,0,0,0,0,0,0,0,0,0,229
820840426,20,42,31,52,17,2,2,0,0,1,0,0,0,0,0,0,0,0,0,167
820840427,40,58,57,72,62,15,8,3,0,0,0,0,0,0,0,0,0,0,0,315
820840428,54,48,50,66,46,8,4,0,0,0,0,0,0,0,0,0,0,0,0,276
820840429,80,68,102,95,50,8,3,1,0,0,0,1,0,0,0,0,0,0,0,408
820840430,37,64,38,33,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,185
820840501,66,77,47,37,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,247
820840502,100,128,61,62,22,6,1,0,0,0,0,0,0,0,0,0,0,0,0,380
820840503,66,72,54,42,25,3,2,0,1,0,0,0,0,0,0,0,0,0,0,265
820840504,42,54,31,32,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,169
820840505,120,100,71,46,26,8,1,1,0,0,0,0,0,0,0,0,0,0,0,373
820840506,76,63,32,35,18,0,0,2,0,0,0,0,0,0,0,0,0,0,0,226
820840507,109,101,50,60,19,3,1,0,0,0,0,0,0,0,0,0,0,0,0,343
820840508,62,62,39,19,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,191
820840509,116,85,65,58,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340
820840510,71,81,52,45,12,2,1,1,0,0,0,0,0,0,0,0,0,0,0,265
820840511,73,98,53,59,20,3,1,0,0,0,0,0,0,0,0,0,0,0,0,307
820840512,62,37,34,39,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176
820840513,53,67,51,40,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,232
820840514,84,66,42,33,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,235
820840515,40,64,42,37,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,197
820840516,74,111,51,54,21,5,0,1,0,0,0,0,0,0,0,0,0,0,0,317
820840517,103,122,69,46,16,3,1,2,0,0,0,0,0,0,0,0,0,0,0,362
820840518,54,66,39,36,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,204
820840519,58,56,32,31,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,188
820840520,58,71,47,33,13,3,2,0,0,0,0,0,0,0,0,0,0,0,0,227
820840521,48,46,29,26,9,4,2,0,0,0,1,0,0,0,0,0,0,0,0,165
820840522,54,48,31,30,10,5,2,0,0,0,0,0,0,0,0,0,0,0,0,180
820840523,52,64,40,24,11,2,3,0,0,0,0,0,0,0,0,0,0,0,0,196
820840524,49,61,35,41,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,198
820840601,79,80,49,50,21,2,1,0,0,1,0,0,0,0,0,0,0,0,0,283
820840602,89,109,62,56,20,5,2,2,0,0,0,0,0,0,0,0,0,0,0,345
820840603,80,90,74,46,30,3,1,3,0,0,0,0,0,0,0,0,0,0,0,327
820840604,69,51,60,48,38,6,3,5,0,0,0,0,1,0,0,0,0,0,0,281
820840605,29,54,29,36,35,3,3,2,0,0,0,0,0,0,0,0,0,0,0,191
820840606,77,89,87,57,43,15,1,1,0,0,0,0,0,0,0,0,0,0,0,370
820840607,76,81,62,43,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,276
820840608,74,97,53,42,21,2,3,0,0,0,0,0,0,0,0,0,0,0,0,292
820840609,80,70,55,33,8,6,1,0,0,0,0,0,0,0,0,0,0,0,0,253
